dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.000172,9.593708,0.000224,0.022375,1.118762,55.938107,6.283167
0.020000,17.001182,9.593708,0.001234,0.050506,1.406513,14.387544,6.283062
0.020000,17.003455,9.593707,0.003507,0.113633,3.156378,87.493227,6.282825
0.020000,17.007495,9.593705,0.007547,0.202000,4.418323,63.097271,6.282405
0.020000,17.013806,9.593698,0.013858,0.315586,5.679337,63.050693,6.281749
0.020000,17.022894,9.593681,0.022945,0.454363,6.938819,62.974121,6.280805
0.020000,17.035259,9.593643,0.035311,0.618283,8.196012,62.859636,6.279523
0.020000,17.051405,9.593571,0.051457,0.807283,9.449989,62.698861,6.277854
0.020000,17.071578,9.593442,0.071630,1.008670,10.069381,30.969596,6.275776
0.020000,17.095772,9.593233,0.095826,1.209765,10.054750,-0.731542,6.273293
0.020000,17.123980,9.592913,0.124036,1.410505,10.037002,-0.887399,6.270413
0.020000,17.156194,9.592449,0.156252,1.610826,10.016040,-1.048130,6.267143
0.020000,17.192401,9.591802,0.192465,1.810661,9.991754,-1.214274,6.263493
0.020000,17.232590,9.590929,0.232664,2.009942,9.964029,-1.386252,6.259471
0.020000,17.276748,9.589785,0.276836,2.208597,9.932743,-1.564329,6.255090
0.020000,17.324856,9.588319,0.324967,2.406552,9.897770,-1.748640,6.250362
0.020000,17.376898,9.586478,0.377042,2.603732,9.858987,-1.939124,6.245302
0.020000,17.432853,9.584207,0.433043,2.800057,9.816276,-2.135584,6.239925
0.020000,17.492699,9.581445,0.492952,2.995448,9.769523,-2.337609,6.234249
0.020000,17.556409,9.578134,0.556748,3.189820,9.718631,-2.544638,6.228291
0.020000,17.623957,9.574211,0.624410,3.383091,9.663512,-2.755921,6.222073
0.020000,17.695313,9.569613,0.695914,3.575173,9.604101,-2.970546,6.215615
0.020000,17.770443,9.564276,0.771233,3.765980,9.540352,-3.187467,6.208941
0.020000,17.849313,9.558137,0.850342,3.955425,9.472242,-3.405498,6.202077
0.020000,17.931884,9.551131,0.933210,4.143420,9.399775,-3.623375,6.195048
0.020000,18.018118,9.543198,1.019808,4.329880,9.322979,-3.839773,6.187882
0.020000,18.107971,9.534278,1.110102,4.514718,9.241912,-4.053354,6.180610
0.020000,18.201398,9.524312,1.204059,4.697851,9.156656,-4.262812,6.173262
0.020000,18.298352,9.513246,1.301643,4.879197,9.067317,-4.466933,6.165872
0.020000,18.398785,9.501031,1.402817,5.058678,8.974024,-4.664630,6.158472
0.020000,18.502647,9.487618,1.507541,5.236216,8.876924,-4.855015,6.151100
0.020000,18.609886,9.472969,1.615776,5.411740,8.776175,-5.037435,6.143791
0.020000,18.720449,9.457047,1.727479,5.585179,8.671945,-5.211522,6.136583
0.020000,18.834283,9.439823,1.842609,5.756467,8.564400,-5.377235,6.129517
0.020000,18.951333,9.421276,1.961119,5.925541,8.453703,-5.534887,6.122632
0.020000,19.071547,9.401393,2.082966,6.092341,8.339999,-5.685163,6.115971
0.020000,19.194870,9.380166,2.208102,6.256809,8.223417,-5.829134,6.109575
0.020000,19.321249,9.357601,2.336480,6.418890,8.104052,-5.968242,6.103489
0.020000,19.450632,9.333708,2.468051,6.578529,7.981966,-6.104287,6.097756
0.020000,19.582968,9.308513,2.602764,6.735673,7.857178,-6.239387,6.092424
0.020000,19.718208,9.282047,2.740570,6.890266,7.729660,-6.375931,6.087538
0.020000,19.856078,9.254402,2.881184,7.030699,7.021620,-35.401977,6.083152
0.020000,19.996085,9.225729,3.024096,7.145648,5.747473,-63.707335,6.079325
0.020000,20.137750,9.196196,3.168807,7.235533,4.494271,-62.660120,6.076103
0.020000,20.280606,9.165983,3.314823,7.300789,3.262789,-61.574113,6.073530
0.020000,20.424197,9.135278,3.461660,7.341861,2.053607,-60.459084,6.071638
0.020000,20.568079,9.104280,3.608844,7.359204,0.867146,-59.323051,6.070452
0.020000,20.711821,9.073187,3.755910,7.353278,-0.296303,-58.172431,6.069988
0.020000,20.854839,9.042236,3.902239,7.316448,-1.841494,-77.259561,6.070253
0.020000,20.996565,9.011658,4.047226,7.249358,-3.354534,-75.652006,6.071242
0.020000,21.136597,8.981643,4.190439,7.160658,-4.434964,-54.021512,6.072943
0.020000,21.274542,8.952369,4.331455,7.050812,-5.492323,-52.867962,6.075331
0.020000,21.410010,8.924006,4.469861,6.920275,-6.526872,-51.727426,6.078377
0.020000,21.542619,8.896706,4.605251,6.769495,-7.538991,-50.605951,6.082041
0.020000,21.671990,8.870605,4.737229,6.598910,-8.529213,-49.511120,6.086277
0.020000,21.797750,8.845820,4.865408,6.408945,-9.498258,-48.452246,6.091029
0.020000,21.919680,8.822421,4.989563,6.207764,-10.059067,-28.040441,6.096243
0.020000,22.037773,8.800422,5.109687,6.006209,-10.077745,-0.933916,6.101869
0.020000,22.152074,8.779816,5.225831,5.807165,-9.952208,6.276851,6.107861
0.020000,22.262625,8.760587,5.338042,5.610577,-9.829375,6.141672,6.114175
0.020000,22.369469,8.742713,5.446370,5.416392,-9.709252,6.006150,6.120767
0.020000,22.472641,8.726165,5.550861,5.224555,-9.591890,5.868090,6.127593
0.020000,22.572178,8.710905,5.651561,5.035007,-9.477378,5.725607,6.134613
0.020000,22.668114,8.696894,5.748515,4.847690,-9.365835,5.577160,6.141784
0.020000,22.760481,8.684086,5.841766,4.662542,-9.257403,5.421578,6.149067
0.020000,22.849310,8.672430,5.931356,4.479497,-9.152242,5.258074,6.156425
0.020000,22.934629,8.661875,6.017326,4.298487,-9.050517,5.086237,6.163819
0.020000,23.016467,8.652364,6.099714,4.119439,-8.952397,4.906017,6.171215
0.020000,23.094851,8.643841,6.178560,3.942278,-8.858043,4.717698,6.178576
0.020000,23.169805,8.636246,6.253898,3.766926,-8.767605,4.521860,6.185871
0.020000,23.241356,8.629519,6.325764,3.593302,-8.681219,4.319335,6.193067
0.020000,23.309526,8.623601,6.394191,3.421322,-8.598995,4.111162,6.200135
0.020000,23.374338,8.618430,6.459209,3.250901,-8.521025,3.898525,6.207046
0.020000,23.435814,8.613947,6.520848,3.081954,-8.447371,3.682714,6.213774
0.020000,23.493974,8.610094,6.579136,2.914393,-8.378069,3.465062,6.220292
0.020000,23.548839,8.606811,6.634098,2.748130,-8.313131,3.246900,6.226577
0.020000,23.600426,8.604043,6.685760,2.583079,-8.252541,3.029521,6.232607
0.020000,23.648754,8.601736,6.734143,2.419154,-8.196258,2.814127,6.238361
0.020000,23.693839,8.599836,6.779269,2.256269,-8.144222,2.601808,6.243821
0.020000,23.735698,8.598295,6.821155,2.094342,-8.096352,2.393518,6.248968
0.020000,23.774344,8.597065,6.859821,1.933291,-8.052551,2.190047,6.253788
0.020000,23.809792,8.596102,6.895282,1.773037,-8.012711,1.992010,6.258264
0.020000,23.842053,8.595364,6.927552,1.613503,-7.976714,1.799859,6.262384
0.020000,23.871141,8.594814,6.956644,1.454614,-7.944437,1.613853,6.266137
0.020000,23.897063,8.594416,6.982570,1.296299,-7.915755,1.434079,6.269511
0.020000,23.919831,8.594138,7.005340,1.138488,-7.890546,1.260463,6.272498
0.020000,23.939453,8.593954,7.024962,0.981114,-7.868690,1.092770,6.275089
0.020000,23.955935,8.593838,7.041445,0.824113,-7.850078,0.930622,6.277278
0.020000,23.969283,8.593771,7.054793,0.667421,-7.834608,0.773508,6.279059
0.020000,23.979644,8.593736,7.065154,0.518073,-7.467381,18.361323,6.280447
0.020000,23.987360,8.593719,7.072870,0.385756,-6.615865,42.575828,6.281483
0.020000,23.992821,8.593711,7.078331,0.273061,-5.634716,49.057423,6.282217
0.020000,23.996420,8.593709,7.081930,0.179939,-4.656099,48.930876,6.282702
0.020000,23.998547,8.593708,7.084057,0.106355,-3.679209,48.844479,6.282989
0.020000,23.999592,8.593708,7.085102,0.052287,-2.703405,48.790201,6.283130
0.020000,23.999947,8.593708,7.085457,0.017723,-1.728199,48.760317,6.283178
0.020000,24.000000,8.593708,7.085510,0.002658,-0.753253,48.747288,0.000000
0.020000,24.000000,8.593708,7.085510,0.000000,-0.132906,31.017351,0.000000
